Id,Label
124,"Maurice DENIS - Portrait of Yvonne Lerolle"
125,"André DERAIN - The Pool of London"
126,"Richard DIEBENKORN - Ocean Park No. 67"
127,"Jim DINE - My Name is Jim Dine 2"
128,"Otto DIX - Portrait of the Journalist Sylvia von Harden"
129,"William DOBSON - Endymion Porter"
130,"Theo VAN DOESBURG - Arithmetic Composition"
131,"DOMENICHINO - The Sacrifice of Isaac"
132,"DONATELLO - David"
133,"Kees VAN DONGEN - Portrait of Dolly"
134,"Dosso DOSSI - Alfonso I d'Este"
135,"Gerrard DOU - Maidservant at a Window"
136,"Arthur DOVE - Me and the Moon"
137,"Jean DUBUFFET - Jazz Band (Dirty Style Blues)"
138,"DUCCIO - The Rucellai Madonna"
139,"Marcel DUCHAMP - Fountain"
140,"Raoul DUFY - The Paddock"
141,"Albrecht DURER - Self-portrait with Gloves"
142,"Sir Anthony VAN DYCK - Charles I on Horseback"
143,"Thomas EAKINS - Between Rounds"
144,"Adam ELSHEIMER - The Stoning of Saint Stephen"
145,"James ENSOR - Skeletons Fighting for the Body of a Hanged Man"
146,"Sir Jacob EPSTEIN - Elemental"
147,"Max ERNST - The Forest"
148,"Richard ESTES - Gordon's Gin"
149,"William ETTY - Hero and Leander"
150,"Jan VAN EYCK - The Arnolfini Marriage"
151,"Carel FABRITIUS - The Goldfinch"
152,"Henri FANTIN-LATOUR - White and Pink Roses"
153,"Jean FAUTRIER - Sarah"
154,"Lyonel FEININGER - Sailing Boats"
155,"Dan FLAVIN - Untitled (To the Citizens of the Republic of France...)"
156,"Lucio FONTANA - Spatial Concept"
157,"Tsugouharu FOUJITA - Young Girl in the Park"
158,"Jean FOUQUET - Virgin and Child"
159,"Jean-Honoré FRAGONARD - The Swing"
160,"Sam FRANCIS - Around the Blues"
161,"Helen FRANKENTHALER - Mountains and Sea"
162,"Lucian FREUD - Girl with a White Dog"
163,"Caspar David FRIEDRICH - The Wreck of the Hope"
164,"Dame Elisabeth FRINK - Goggle Head"
165,"Nicolas FROMENT - Virgin and Child"
166,"Naum GABO - Linear Construction in Space No. 2"
167,"Taddeo GADDI - Saint Eligius in the Goldsmith's Shop"
168,"Thomas GAINSBOROUGH - Mr and Mrs Andrews"
169,"Henri GAUDIER-BRZESKA - Red Stone Dancer"
170,"Paul GAUGUIN - Woman with a Flower"
171,"GENTILE DA FABRIANO - The Adoration of the Magi"
172,"Artemisia GENTILESCHI - Judith and Holofernes"
